method_name,request_size,response_size
CreateUser,26,44
CreateUser,36,50
Login,16,35
SendMessage,25,65
CreateUser,16,42
Login,9,33
SendMessage,31,24
ReadMessages,5,96
Logout,5,38
ReadMessages,7,32
DeleteMessages,10,32
DeleteUser,7,30
DeleteUser,5,31
ListUsers,9,34
CreateUser,25,44
Login,18,35
SendMessage,35,24
ListUsers,10,34
CreateUser,37,51
Login,23,42
SendMessage,48,24
CreateUser,14,23
CreateUser,14,23
CreateUser,14,23
CreateUser,14,23
CreateUser,14,23
StartAuction,22,18
SubmitBid,19,23
GetWinner,5,30
CreateUser,14,23
StartAuction,22,18
SubmitBid,19,23
EndAuction,5,16
GetWinner,5,27
CreateUser,14,23
StartAuction,22,18
SubmitBid,19,23
EndAuction,5,16
GetWinner,5,27
CreateUser,14,23
StartAuction,22,18
SubmitBid,19,23
EndAuction,5,16
GetWinner,5,27
CreateUser,14,23
StartAuction,22,18
SubmitBid,19,23
EndAuction,5,16
GetWinner,5,27
CreateUser,14,23
StartAuction,22,18
SubmitBid,19,23
EndAuction,5,16
GetWinner,5,27
CreateUser,14,23
StartAuction,22,18
SubmitBid,19,23
EndAuction,5,16
GetWinner,5,27
CreateUser,14,23
StartAuction,22,18
SubmitBid,19,23
EndAuction,5,16
GetWinner,5,27
CreateUser,14,23
StartAuction,22,18
SubmitBid,19,23
EndAuction,5,16
GetWinner,5,27
CreateUser,14,23
StartAuction,22,18
SubmitBid,19,23
EndAuction,5,16
GetWinner,5,27
CreateUser,14,23
StartAuction,22,18
SubmitBid,19,23
EndAuction,5,16
GetWinner,5,27
CreateUser,14,23
StartAuction,22,18
SubmitBid,19,23
EndAuction,5,16
GetWinner,5,27
CreateUser,14,23
StartAuction,22,18
SubmitBid,19,23
EndAuction,5,16
GetWinner,5,27
CreateUser,14,23
StartAuction,22,18
SubmitBid,19,23
EndAuction,5,16
GetWinner,5,27
