method_name,request_size,response_size
Login,70,32
SendMessage,12,24
Login,70,34
ReadMessages,8,78
ListUsers,7,96
ListUsers,7,96
Logout,4,37
ListUsers,3,34
Logout,4,37
Login,70,32
ListUsers,7,96
Logout,4,37
Login,70,32
SendMessage,12,24
ReadMessages,4,126
DeleteMessages,7,32
ReadMessages,4,80
Logout,4,37
CreateUser,72,40
CreateUser,80,44
Login,73,35
ListUsers,10,54
ReadMessages,7,32
SendMessage,26,24
ReadMessages,7,89
Logout,7,40
ListUsers,9,34
CreateUser,25,44
Login,18,35
SendMessage,35,24
ListUsers,21,38
CreateUser,37,51
SendMessage,48,33
ListUsers,9,34
CreateUser,25,50
ListUsers,21,38
CreateUser,37,64
ListUsers,9,34
CreateUser,25,50
ListUsers,10,34
CreateUser,37,64
ListUsers,9,34
CreateUser,25,50
Login,18,37
SendMessage,35,24
ListUsers,10,34
CreateUser,37,64
Login,23,42
SendMessage,48,24
ListUsers,9,34
CreateUser,25,50
Login,18,37
SendMessage,35,24
ListUsers,10,34
CreateUser,37,64
Login,23,44
SendMessage,48,24
ListUsers,9,34
CreateUser,25,50
Login,18,37
SendMessage,35,24
ListUsers,10,34
CreateUser,37,64
Login,23,44
SendMessage,48,24
